Exited,Scaled Score,France,Spain,Male,Scaled Age,Scaled Tenure,Scaled Balance,NumOfProducts,Balance to Salary ratio,Product to tenure ratio,Age Tenure,Engagement Score,Scaled Salary ,IsActiveMember,Female,Germany,Age,Tenure,HasCrCard,Balance,EstimatedSalary,Year,Credit Score
1,-0.33,0,1,0,0.2,1.03,-1.23,3,0%,0.38,0.2,38%,-0.35,1,1,0,41,8,1,? 0.00,"? 79,866.73",2025,619
1,-0.34,0,0,0,0.1,-1.73,1.02,1,87%,1,0,0%,1.05,0,1,1,40,0,1,"? 1,40,306.38","? 1,60,618.61",2025,618
1,0.56,0,0,0,0.39,1.72,1.12,1,1455%,0.1,0.23,10%,-1.57,1,1,1,43,10,0,"? 1,46,547.78","? 10,072.55",2025,705
1,1.05,0,1,0,-0.37,-1.04,-1.23,1,0%,0.5,0.06,0%,-0.97,0,1,0,35,2,1,? 0.00,"? 44,335.54",2025,752
1,-1.73,1,0,0,0.48,0,0.97,1,71%,0.2,0.11,0%,1.6,0,1,0,44,5,1,"? 1,36,836.49","? 1,92,359.90",2025,483
1,-0.63,0,1,1,-0.95,1.72,-1.23,1,0%,0.1,0.34,10%,-0.84,1,0,0,29,10,1,? 0.00,"? 51,907.72",2025,590
1,-0.47,0,0,0,1.63,-1.39,-0.04,2,119%,2,0.02,200%,-0.66,1,1,1,56,1,1,"? 74,129.18","? 62,199.78",2025,605
1,-0.73,0,0,1,0.58,1.03,0.44,1,219%,0.13,0.18,0%,-0.92,0,0,1,45,8,1,"? 1,03,741.14","? 47,428.73",2025,580
1,-1.08,0,0,0,1.25,-1.39,0.47,1,450%,1,0.02,100%,-1.33,1,1,1,52,1,1,"? 1,06,074.89","? 23,548.45",2025,546
1,0.24,0,0,1,0.77,0.34,0.49,1,5141%,0.17,0.13,17%,-1.7,1,0,1,47,6,1,"? 1,06,901.94","? 2,079.20",2025,674
1,0.87,1,0,0,1.34,1.03,0.76,2,73%,0.25,0.15,25%,1.22,1,1,0,53,8,0,"? 1,23,845.36","? 1,70,454.93",2025,735
1,1.57,1,0,0,0.01,0.69,0.7,2,202%,0.29,0.18,29%,-0.71,1,1,0,39,7,0,"? 1,20,145.96","? 59,497.01",2025,802
1,-0.86,1,0,0,0.2,1.38,0.98,1,97%,0.11,0.22,0%,0.73,0,1,0,41,9,1,"? 1,37,891.35","? 1,42,009.46",2025,567
1,0.59,0,0,0,0.39,-1.73,0.68,1,66%,1,0,0%,1.42,0,1,1,43,0,1,"? 1,18,994.84","? 1,81,499.77",2025,708
1,-1.23,0,0,1,1.25,-0.7,0.55,1,75%,0.33,0.06,0%,0.85,0,0,1,52,3,1,"? 1,10,791.97","? 1,48,704.77",2025,532
1,1.04,0,0,0,1.15,0.69,1.15,1,101%,0.14,0.14,0%,0.81,0,1,1,51,7,1,"? 1,48,074.79","? 1,46,411.41",2025,751
1,1.21,0,0,0,-0.37,0.34,0.89,1,114%,0.17,0.17,0%,0.27,0,1,1,35,6,1,"? 1,32,253.22","? 1,15,566.57",2025,767
1,-0.33,1,0,0,0.29,-1.04,-1.23,1,0%,0.5,0.05,50%,0.02,1,1,0,42,2,1,? 0.00,"? 1,01,348.88",2025,619
1,-1.74,0,0,1,0.58,0.69,1.28,1,215%,0.14,0.16,0%,-0.48,0,0,1,45,7,1,"? 1,56,353.46","? 72,643.95",2025,482
1,0.49,0,0,1,1.25,1.72,0.49,3,373%,0.3,0.19,0%,-1.24,0,0,1,52,10,1,"? 1,07,304.39","? 28,806.32",2025,698
1,-1.13,0,0,0,0.01,1.38,0.38,1,50%,0.11,0.23,11%,1.73,1,1,1,39,9,1,"? 1,00,116.67","? 1,99,808.10",2025,541
1,-0.95,0,1,1,-0.09,-0.7,1.11,1,259%,0.33,0.08,0%,-0.76,0,0,0,38,3,1,"? 1,45,874.35","? 56,311.39",2025,559
1,1.47,1,0,1,-0.66,-1.04,-1.23,2,0%,1,0.06,0%,1.63,0,0,0,32,2,1,? 0.00,"? 1,93,817.63",2025,793
1,-0.88,0,0,1,1.25,0,0.34,2,56%,0.4,0.1,0%,1.3,0,0,1,52,5,1,"? 97,720.35","? 1,75,070.94",2025,565
1,0.28,1,0,0,0.96,-0.7,2.05,1,27679%,0.33,0.06,33%,-1.73,1,1,0,49,3,0,"? 2,04,510.94",? 738.88,2025,678
1,-0.51,0,0,1,0.29,-1.39,0.35,1,246%,1,0.02,0%,-1.04,0,0,1,42,1,1,"? 98,495.72","? 40,014.76",2025,601
1,-0.55,0,1,1,-0.37,1.38,-1.23,3,0%,0.33,0.26,33%,-0.47,1,0,0,35,9,0,? 0.00,"? 73,181.39",2025,597
1,0.57,0,0,0,0.67,-0.35,0.46,1,97%,0.25,0.09,0%,0.15,0,1,1,46,4,1,"? 1,05,214.58","? 1,08,699.59",2025,706
1,0.4,0,0,0,1.53,-1.39,0,1,180%,1,0.02,0%,-1,0,1,1,55,1,1,"? 76,296.81","? 42,364.75",2025,689
1,-1.69,0,0,0,2.11,0,0.54,1,969%,0.2,0.08,0%,-1.54,0,1,1,61,5,0,"? 1,10,368.03","? 11,384.45",2025,487
1,-1,1,0,0,0.39,1.72,-1.23,2,0%,0.2,0.23,0%,0.86,0,1,0,43,10,1,? 0.00,"? 1,49,629.13",2025,554
1,-0.97,1,0,1,0.29,0.34,1.62,1,118%,0.17,0.14,0%,0.88,0,0,0,42,6,1,"? 1,77,822.03","? 1,50,944.31",2025,557
1,-0.77,1,0,0,1.25,1.38,1.5,2,115%,0.22,0.17,0%,0.84,0,1,0,52,9,0,"? 1,70,228.59","? 1,48,477.57",2025,576
1,0.42,0,1,1,-0.28,0.69,0.86,1,172%,0.14,0.19,0%,-0.42,0,0,0,36,7,0,"? 1,29,934.64","? 75,664.56",2025,691
1,-1.45,0,1,0,-0.09,-0.35,-1.23,1,0%,0.25,0.11,0%,0.33,0,1,0,38,4,1,? 0.00,"? 1,18,913.53",2025,510
1,1.34,0,0,1,1.15,-0.35,0.81,1,65%,0.25,0.08,0%,1.65,0,0,1,51,4,1,"? 1,26,725.25","? 1,95,259.31",2025,780
